ID,Original_FR,Conflicting_FR,Predicted_Label,Semantic_Tuple_A,Semantic_Tuple_B,Resolution
11,A CPN user shall be able to configure any unmanaged service provided to the user.,A CPN user shall not be allowed to configure unmanaged services without administrator approval.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""CPN user"",
  ""Operation"": ""configure"",
  ""Input"": ""any unmanaged service provided to the user"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""CPN user"",
  ""Operation"": ""shall not be allowed to configure"",
  ""Input"": ""unmanaged services"",
  ""Output"": ""null"",
  ""Restriction"": ""without administrator approval""
}
```","1. Modify the restriction in Requirement A to include ""subject to administrator approval for unmanaged services.""  
2. Modify the operation in Requirement B to ""configure unmanaged services only with administrator approval.""  
3. Add a condition to Requirement A specifying ""if administrator approval is granted for unmanaged services.""  "
12,A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.,The system shall not perform validation against predefined range values for temperature inputs.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""compare"",
  ""Input"": ""current temperature value received from an individual thermostat and valid temperature range values"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""shall not perform validation"",
  ""Input"": ""temperature inputs"",
  ""Output"": ""null"",
  ""Restriction"": ""against predefined range values""
}
```","1. Modify the operation in Requirement A to specify that the comparison is optional based on a configurable system setting.  
2. Modify the restriction in Requirement B to allow validation for specific use cases or scenarios defined by the system.  
3. Modify the input in Requirement A to include a flag indicating whether the temperature value requires validation.  "
13,A description and time/date of each prescription that has been ordered or given is displayed starting with most recent.,The system shall display prescriptions in chronological order from oldest to newest.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""is displayed"",
  ""Input"": ""description and time/date of each prescription that has been ordered or given"",
  ""Output"": ""description and time/date of each prescription displayed"",
  ""Restriction"": ""starting with most recent""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""the system"",
  ""Operation"": ""display"",
  ""Input"": ""prescriptions"",
  ""Output"": ""prescriptions displayed in chronological order"",
  ""Restriction"": ""from oldest to newest""
}
```","1. Modify the restriction in Requirement A to ""displayed in chronological order from newest to oldest.""  
2. Modify the restriction in Requirement B to ""from newest to oldest.""  
3. Combine both requirements into a single requirement with a configurable display order option (newest to oldest or oldest to newest).  "
14,A failed login will alert the physician/pharmacist.,A failed login attempt shall not generate alerts to users for security reasons.,Operation Conflict,"```json
{
  ""Event"": ""A failed login"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""will alert"",
  ""Input"": ""null"",
  ""Output"": ""the physician/pharmacist is alerted"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""A failed login attempt"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""shall not generate alerts"",
  ""Input"": ""failed login attempt"",
  ""Output"": ""no alerts to users"",
  ""Restriction"": ""for security reasons""
}
```","1. Modify Requirement A's operation to ""will log the failed login attempt for review by the physician/pharmacist"" instead of ""will alert.""  
2. Add a condition to Requirement B stating ""alerts may be generated under specific roles or circumstances.""  
3. Modify Requirement B's restriction to ""for general security reasons, except for critical roles like physician/pharmacist.""  "
15,A failed login will alert the physician/pharmacist.,"Login failure alerts shall be delivered only once to Security Administrators and thereafter be suppressed for 24 hours, regardless of subsequent failures.",Agent Conflict£¬Restriction Conflict,"```json
{
  ""Event"": ""A failed login"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""will alert"",
  ""Input"": ""null"",
  ""Output"": ""the physician/pharmacist is alerted"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""Login failure"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""deliver alerts"",
  ""Input"": ""login failure alerts"",
  ""Output"": ""alerts delivered to Security Administrators"",
  ""Restriction"": ""only once, then suppressed for 24 hours regardless of subsequent failures""
}
```","1. Modify the ""Agent"" in Requirement A to include Security Administrators alongside physicians/pharmacists.  
2. Add a ""Restriction"" to Requirement A to specify that alerts are suppressed for 24 hours after the first alert.  
3. Modify the ""Output"" in Requirement B to include physicians/pharmacists as recipients of the first alert.  "
16,A flight pattern shall document the longitude latitude and altitude of waypoints in a flight route as offsets from the starting position of the UAV.,A flight pattern shall document the magnetic bearing and distance of waypoints in a flight route as offsets from the starting position of the UAV.,Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""document"",
  ""Input"": ""longitude, latitude, and altitude of waypoints in a flight route"",
  ""Output"": ""waypoints as offsets from the starting position of the UAV"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""document"",
  ""Input"": ""magnetic bearing and distance of waypoints in a flight route as offsets from the starting position of the UAV"",
  ""Output"": ""flight pattern"",
  ""Restriction"": ""null""
}
```","1. Modify the ""Input"" element in Requirement A to include magnetic bearing and distance alongside longitude, latitude, and altitude.  
2. Modify the ""Input"" element in Requirement B to include longitude, latitude, and altitude alongside magnetic bearing and distance.  
3. Add a ""Restriction"" element to both requirements specifying that either representation can be used based on mission-specific needs.  "
17,A flight pattern shall document the longitude latitude and altitude of waypoints in a flight route as offsets from the starting position of the UAV.,A flight pattern shall record waypoints using absolute geographic coordinates rather than offsets.,Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""document"",
  ""Input"": ""longitude, latitude, and altitude of waypoints in a flight route"",
  ""Output"": ""offsets from the starting position of the UAV"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""record"",
  ""Input"": ""waypoints"",
  ""Output"": ""waypoints recorded using absolute geographic coordinates"",
  ""Restriction"": ""use absolute geographic coordinates rather than offsets""
}
```","1. Modify the output of Requirement A to include both offsets from the starting position and absolute geographic coordinates.  
2. Adjust the restriction in Requirement B to allow the use of offsets or absolute geographic coordinates based on the system's configuration.  
3. Introduce a condition in both requirements to allow the selection of the coordinate format (offsets or absolute) as a configurable parameter.  "
18,A list of all dispute cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color-coding the line item in the list.,The system shall provide a textual indication of case status instead of using color-coding.,Output Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""provide a list of dispute cases"",
  ""Input"": ""entered search criteria"",
  ""Output"": ""list of dispute cases differentiated by type and/or status using color-coded line items"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""the system"",
  ""Operation"": ""provide"",
  ""Input"": ""case status"",
  ""Output"": ""a textual indication of case status"",
  ""Restriction"": ""instead of using color-coding""
}
```","1. Modify the output of Requirement A to include both color-coding and textual indications for case type and/or status.  
2. Modify the restriction of Requirement B to allow optional use of color-coding alongside textual indications.  
3. Modify the operation of Requirement A to provide a configurable option for users to choose between color-coding, textual indications, or both.  "
19,A list of all dispute cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color-coding the line item in the list.,The list of dispute cases shall differentiate type/status using textual tags instead of color-coding.,Output Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""provide a list of dispute cases"",
  ""Input"": ""entered search criteria"",
  ""Output"": ""list of dispute cases with type and/or status differentiated by color-coding"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""differentiate type/status using textual tags"",
  ""Input"": ""list of dispute cases"",
  ""Output"": ""list of dispute cases with type/status differentiated using textual tags"",
  ""Restriction"": ""instead of color-coding""
}
```","1. Modify the output of Requirement A to include both color-coding and textual tags for differentiating type/status.  
2. Adjust the constraint in Requirement B to allow color-coding in addition to textual tags.  
3. Replace the operation in both requirements with a user-configurable option to choose between color-coding or textual tags for differentiation.  "
20,A list of available patients is displayed after login.,"The list of available patients shall be accessible only after explicit user request, not automatically after login.",Event Conflict,"```json
{
  ""Event"": ""after login"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""displayed"",
  ""Input"": ""login"",
  ""Output"": ""list of available patients"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""explicit user request"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""shall be accessible"",
  ""Input"": ""list of available patients"",
  ""Output"": ""access to the list of available patients"",
  ""Restriction"": ""not automatically after login""
}
```","1. Modify the condition of Requirement A to trigger the display of the patient list only after explicit user request instead of after login.  
2. Adjust the operation in Requirement B to allow the patient list to be displayed automatically after login if the user has preconfigured preferences for this behavior.  
3. Add a constraint to Requirement A that the list of available patients is displayed automatically only if the user explicitly enables this option during account setup.  "
21,A meeting scheduler system will inform the ???potential meeting participant???? of the meeting.,"The meeting scheduler shall notify only confirmed attendees, excluding tentative participants.",Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""meeting scheduler system"",
  ""Operation"": ""inform"",
  ""Input"": ""meeting"",
  ""Output"": ""notification to potential meeting participant"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""meeting scheduler"",
  ""Operation"": ""notify"",
  ""Input"": ""list of confirmed attendees"",
  ""Output"": ""notifications sent to confirmed attendees"",
  ""Restriction"": ""excluding tentative participants""
}
```","1. Modify the ""Output"" in Requirement A to specify ""notification to confirmed attendees, excluding tentative participants.""  
2. Adjust the ""Restriction"" in Requirement B to include ""potential meeting participants if required by meeting type.""  
3. Update the ""Operation"" in Requirement A to ""notify confirmed attendees"" instead of ""inform potential meeting participants.""  "
22,A meeting scheduler system will inform the potential meeting participant of the meeting.,The meeting scheduler system shall not automatically notify participants until the meeting is confirmed.,Event Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""meeting scheduler system"",
  ""Operation"": ""inform"",
  ""Input"": ""potential meeting participant"",
  ""Output"": ""notification of the meeting"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""until the meeting is confirmed"",
  ""Agent"": ""meeting scheduler system"",
  ""Operation"": ""not automatically notify"",
  ""Input"": ""participants"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","1. Modify the condition in Requirement A to specify ""after the meeting is confirmed.""  
2. Modify the operation in Requirement B to allow ""informing participants of tentative meetings with a clear tentative status.""  
3. Add a restriction to Requirement A stating ""notifications must indicate the meeting status (confirmed or tentative).""  "
23,A meeting scheduler system will temporarily reserve the ???time slots???? for the proposed meeting.,The scheduler shall not reserve time slots until the meeting is finalized.,Event Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""meeting scheduler system"",
  ""Operation"": ""temporarily reserve"",
  ""Input"": ""proposed meeting time slots"",
  ""Output"": ""reserved time slots"",
  ""Restriction"": ""temporary""
}
```","```json
{
  ""Event"": ""until the meeting is finalized"",
  ""Agent"": ""scheduler"",
  ""Operation"": ""not reserve time slots"",
  ""Input"": ""null"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","1. Modify the condition in Requirement A to reserve time slots only if the meeting is likely to be finalized.  
2. Adjust the operation in Requirement B to allow provisional reservation of time slots with a clear expiration policy.  
3. Add a constraint to both requirements specifying that temporary reservations will expire if the meeting is not finalized within a predefined timeframe.  "
24,"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI in the MODIS SDP S/W shall run in the ECS production environment.",Access to MODIS CSCI configuration data shall be permitted to MODIS_SYSTEM_ADMIN holders only during a predefined maintenance window of 2 minutes per week; outside that 2-minute window no access or modification is allowed.,Agent Conflict£¬Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""run"",
  ""Input"": ""CSCI in the MODIS SDP S/W"",
  ""Output"": ""CSCI runs in the ECS production environment"",
  ""Restriction"": ""independently tracked and configured unit of software within the MODIS SDP S/W""
}
```","```json
{
  ""Event"": ""during a predefined maintenance window of 2 minutes per week"",
  ""Agent"": ""MODIS_SYSTEM_ADMIN holders"",
  ""Operation"": ""access to MODIS CSCI configuration data shall be permitted"",
  ""Input"": ""MODIS CSCI configuration data"",
  ""Output"": ""access permitted"",
  ""Restriction"": ""outside that 2-minute window no access or modification is allowed""
}
```","1. Modify the restriction in Requirement B to allow emergency access to MODIS CSCI configuration data outside the 2-minute window under predefined conditions.  
2. Adjust the operation in Requirement A to specify that running in the ECS production environment must not require configuration changes outside the allowed maintenance window.  
3. Modify the condition in Requirement B to increase the maintenance window duration if necessary to accommodate essential configuration updates for CSCIs.  "
25,"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI within the MODIS SDP S/W systemshall employ the Earth Science Data and Information System (ESDIS)-supplied SDPTK mandatory functions to access the DAAC production environment and services.",Use of ESDIS SDPTK functions shall be rate-limited to one invocation per 24 hours per DAAC administrator; any additional attempts within the period are rejected even if initiated by DAAC admins.,Agent Conflict£¬Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""Each CSCI within the MODIS SDP S/W system"",
  ""Operation"": ""shall employ the ESDIS-supplied SDPTK mandatory functions to access the DAAC production environment and services"",
  ""Input"": ""ESDIS-supplied SDPTK mandatory functions"",
  ""Output"": ""Access to the DAAC production environment and services"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""DAAC administrator"",
  ""Operation"": ""use ESDIS SDPTK functions"",
  ""Input"": ""null"",
  ""Output"": ""any additional attempts within the period are rejected"",
  ""Restriction"": ""rate-limited to one invocation per 24 hours per DAAC administrator""
}
```","1. Modify Requirement A's operation to state that ESDIS-supplied SDPTK mandatory functions shall be employed subject to rate-limiting constraints.  
2. Modify Requirement B's restriction to exempt essential MODIS SDP S/W system processes from the one invocation per 24-hour limit.  
3. Add a condition to Requirement A specifying that access to the DAAC production environment and services must comply with all rate-limiting policies.  "
26,A MODIS CSCI ... shall be coded according to the standards specified in SDST-022.,Each CSCI may be coded according to team-specific internal guidelines if equivalent to SDST-022.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""coded"",
  ""Input"": ""standards specified in SDST-022"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""if equivalent to SDST-022"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""may be coded"",
  ""Input"": ""team-specific internal guidelines"",
  ""Output"": ""CSCI coded"",
  ""Restriction"": ""null""
}
```","1. Modify the condition in Requirement B to explicitly state that team-specific internal guidelines must be reviewed and approved as equivalent to SDST-022 before coding.  
2. Adjust the input in Requirement A to allow for coding standards equivalent to SDST-022, provided they meet predefined equivalency criteria.  
3. Add a restriction to both requirements specifying a verification process to ensure compliance with SDST-022 or its approved equivalent.  "
27,A MODIS CSCI ... shall employ ESDIS-supplied SDPTK mandatory functions to access the DAAC environment.,A CSCI may use custom-developed functions to access DAAC services instead of ESDIS-supplied SDPTK.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""MODIS CSCI"",
  ""Operation"": ""employ"",
  ""Input"": ""ESDIS-supplied SDPTK mandatory functions"",
  ""Output"": ""access the DAAC environment"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""CSCI"",
  ""Operation"": ""use custom-developed functions to access DAAC services"",
  ""Input"": ""null"",
  ""Output"": ""access to DAAC services"",
  ""Restriction"": ""instead of ESDIS-supplied SDPTK""
}
```","1. Modify Requirement A's restriction to allow the use of custom-developed functions as an alternative when ESDIS-supplied SDPTK functions are insufficient.  
2. Modify Requirement B's restriction to specify that custom-developed functions must meet compatibility standards with the DAAC environment.  
3. Add a condition to both requirements mandating a performance comparison between ESDIS-supplied SDPTK and custom-developed functions before implementation.  "
28,A MODIS CSCI ... shall run in the ECS production environment.,Each CSCI shall run in a controlled test environment before deployment to ECS production.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""A MODIS CSCI"",
  ""Operation"": ""shall run"",
  ""Input"": ""null"",
  ""Output"": ""null"",
  ""Restriction"": ""in the ECS production environment""
}
```","```json
{
  ""Event"": ""before deployment to ECS production"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""run"",
  ""Input"": ""controlled test environment"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","1. Modify the restriction in Requirement A to include ""after successful testing in a controlled test environment.""  
2. Specify the agent in Requirement B as ""A MODIS CSCI"" to align with Requirement A.  
3. Add a condition to Requirement B stating ""testing must precede deployment to ECS production.""  "
29,A MySQL database will be used to store all information required to answer questions.,A PostgreSQL database shall be used as the primary storage for all question-answer data.,Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""will be used to store"",
  ""Input"": ""information required to answer questions"",
  ""Output"": ""null"",
  ""Restriction"": ""MySQL database""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""use"",
  ""Input"": ""question-answer data"",
  ""Output"": ""stored in a PostgreSQL database"",
  ""Restriction"": ""PostgreSQL database shall be the primary storage""
}
```","1. Modify the ""Restriction"" in Requirement A to allow either MySQL or PostgreSQL as the database.  
2. Modify the ""Restriction"" in Requirement B to specify PostgreSQL as the primary database but allow MySQL for secondary or auxiliary storage.  
3. Modify the ""Operation"" in Requirement A to indicate compatibility with PostgreSQL as a potential alternative storage option.  "
