ID,Original_FR,Conflict,Agent Conflict,Event Conflict,Input Conflict,Operation Conflict,Output Conflict,Restriction Conflict,No conflict
22,A cohort shall be associated to one Program of Study offered by the department.,"""A cohort shall be able to be defined and managed by any Department Administrator, regardless of the Program of Study to which it is associated.""",1,0,0,0,0,0,0
23,A CPN user shall be able to configure any unmanaged service provided to the user.,The system shall allow only users with the SERVICE_ADMIN key to be authorized for the configuration of unmanaged services.,1,0,0,0,0,0,0
24,A CPN user shall be able to configure any unmanaged service provided to the user.,A CPN user shall be able to configure the parameters of an unmanaged service provided to the user only once.,0,0,0,0,0,1,0
25,A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.,"If the operational history report is selected, the THEMAS system shall select all the events from the event database, sort the events by date and time, and create the ASCII report file.",0,0,1,0,0,0,0
26,A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.,"A current temperature value that is received from an individual thermostat shall be displayed in green, regardless of its comparison to the valid temperature range.",0,0,0,0,1,0,0
27,A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.,A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values only once.,0,0,0,0,0,1,0
28,A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.,"""A current temperature value shall be compared to the valid temperature range values only after the thermostat has been in an active state for a minimum of 5 minutes.""",0,1,0,0,0,0,0
29,A flight pattern shall document the longitude latitude and altitude of waypoints in a flight route as offsets from the starting position of the UAV.,"""The THEMAS system shall derive the flight pattern waypoints from a predefined library of named routes, using only the route identifier as input.""",0,0,1,0,0,0,0
30,A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,"When the status of a disputes case is ""escalated"", the system shall colour such a case in red.",0,0,0,0,0,0,1
31,A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,"When the status of a disputes case in the search results list is ""requires immediate attention"", the system shall colour such a case in red.",0,0,0,0,0,0,1
32,A list of available patients is displayed after login.,The system must display the list of available patients only after a secondary authentication step is completed.,0,0,0,0,0,1,0
33,"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI shall be coded according to thestandards specified in the MODIS Software Development Standards and Guidelines, SDST-022 .","The MODIS system shall generate the operational history report directly from the most recent data stream, bypassing the event database, to create the ASCII report file.",0,0,1,0,0,0,0
34,A MySQL database will be used to store all information required to answer questions.,The MySQL database shall be configured to allow read-only access for all applications that query stored information.,0,0,0,0,0,1,0
35,A MySQL database will be used to store all information required to answer questions.,"If the user queries for historical data, the system shall retrieve all required information by making a direct API call to the external audit service.",0,0,1,0,0,0,0
36,A non-clinical class shall specify the course name lecture room requirements and instructor needs.,"If the non-clinical class is selected, the scheduling system shall retrieve the course name from the curriculum database, determine the instructor from the faculty roster, and automatically assign the standard lecture hall.",0,0,1,0,0,0,0
37,"A PGE is a script which executes one or more MODIS software processes within the ECS environment greenwich meridian.  Each PGE shall be provided with one or more sets of production rules, which specify the inputs, outputs, and activation conditions for the PGE.",A PGE shall be provided with a single fixed set of input parameters that are defined at the time of its initial deployment and cannot be modified by production rules.,0,0,1,0,0,0,0
38,A PGE is a script which executes one or more MODIS software processes within the ECS environment.  The SDST shall integrate all software processes available to the SDST software integration team into a set of PGEs that execute all processes in the MODIS TLCF.,The SDST shall allow MODIS algorithm developers to directly define and integrate their individual software processes into PGEs for execution within the ECS environment.,1,0,0,0,0,0,0
39,"A PGE is a script which executes one or more MODIS software processes within the ECS environment.  The SDST shall integrate subsets of these processes into sets of PGEs that execute in the GSFC DAAC, EDC DAAC, and the NSIDC DAAC as specified in Table B-1.","The SDST shall ensure that only the GSFC DAAC has the authority to define, modify, and execute the complete set of PGEs for all DAACs.",1,0,0,0,0,0,0
40,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,The system shall only allow a designated Clinical Affairs Administrator to add new nursing students to the system.,1,0,0,0,0,0,0
41,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,The system shall allow a Program Administrator/Nursing Staff Member to add a new nursing student to the system only once.,0,0,0,0,0,1,0
42,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,"If a Program of Study report is selected, the system shall generate the report using only the program name and a list of non-clinical classes, excluding all clinical requirements.",0,0,1,0,0,0,0
43,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,"When the Program of Study is displayed to a user, the OPENCOSS platform shall colour the program name in red.",0,0,0,0,0,0,1
44,A search described in requirement UCAR602 results in a displayed set of topics.,"When a search described in requirement UCAR602 results in a displayed set of topics, the OPENCOSS platform shall hide the results by default.",0,0,0,0,1,0,0
45,A search described in requirement UCAR602 results in a displayed set of topics.,"When the search described in requirement UCAR602 results in a displayed set of topics, the OPENCOSS platform shall display no results.",0,0,0,1,0,0,0
46,A search described in requirement UCAR702 results in a displayed set of topics.,"A search described in requirement UCAR702 requires a single, mandatory search term provided by the user to initiate the query.",0,0,1,0,0,0,0
47,A search described in requirement UCAR702 results in a displayed set of topics.,"When the search described in requirement UCAR702 results in a displayed set of topics, the OPENCOSS platform shall display the set without any visual formatting.",0,0,0,0,0,0,1
48,A search described in requirement UCAR702 results in a displayed set of topics.,"When a search described in requirement UCAR702 results in a displayed set of topics, the OPENCOSS platform shall display the set of topics with a transparent background.",0,0,0,0,0,0,1
49,A search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings that match the search input.,"When the search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings, the OPENCOSS platform shall colour all matching buildings in grey.",0,0,0,0,1,0,0
50,A search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings that match the search input.,"When the number of buildings returned by a search described in requirements UCAR201 and UCAR202 exceeds 100, the OPENCOSS platform shall display no results.",0,0,0,0,1,0,0
51,A search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings that match the search input.,"If the search described in requirements UCAR201 and UCAR202 is executed, the system shall select all buildings from the building database, sort them alphabetically by name, and create a summary PDF report.",0,0,1,0,0,0,0
52,A search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings that match the search input.,"If the building search is initiated, the system shall bypass the standard search input and instead select all buildings from the database, sort them by street name, and display the complete list.",0,0,1,0,0,0,0
53,A search described in requirements UCAR203 results in a displayed set of POI that match the search input.,"When the number of POIs matching the search input exceeds 100, the system shall not display the result set.",0,0,0,1,0,0,0
54,A search described in requirements UCAR203 results in a displayed set of POI??®¶a??a??®¶s that match the search input.,"When the search described in requirements UCAR203 results in more than 50 POIs, the system shall display a message stating ""Too many results"" and shall not display the matching POIs.",0,0,0,0,1,0,0
55,A search described in requirements UCAR203 results in a displayed set of POI??®¶a??a??®¶s that match the search input.,"If the user initiates a search without specifying any criteria, the THEMAS system shall ignore the search input and display the entire, unsorted list of POIs from the database.",0,0,1,0,0,0,0
56,A search described in requirements UCAR406 and UCAR407 results in a displayed set of events that match the search input.,"If the event log export is initiated, the system shall bypass the standard search parameters and retrieve all events from the operational database for immediate download.",0,0,1,0,0,0,0
57,A search described in requirements UCAR406 and UCAR407 results in a displayed set of events that match the search input.,"When the search described in requirements UCAR406 and UCAR407 results in a displayed set of events, the OPENCOSS platform shall display all matching events in a uniform, neutral grey colour.",0,0,0,0,0,0,1
58,A search described in requirements UCAR406 and UCAR407 results in a displayed set of events that match the search input.,"When the search described in requirements UCAR406 and UCAR407 results in a displayed set of events, the OPENCOSS platform shall display all matching events in a uniform, neutral color.",0,0,0,0,0,0,1
59,A search described in requirements UCAR501 and UCAR502 results in a displayed set of employees that match the search input.,"When the search described in requirements UCAR501 and UCAR502 results in more than 50 matching employees, the system shall display no results.",0,0,0,0,1,0,0
60,A search described in requirements UCAR501 and UCAR502 results in a displayed set of employees that match the search input.,"When a search described in requirements UCAR501 and UCAR502 results in more than 50 matching employees, the system shall display only the first 50 results.",0,0,0,0,1,0,0
61,A search described in requirements UCAR501 and UCAR502 results in a displayed set of employees that match the search input.,"If the employee search is initiated, the THEMAS system shall select all the employees from the master personnel database, sort the employees by last name, and create the PDF report file.",0,0,1,0,0,0,0
62,A single adult shall be able to lift and carry the UAV.,The Viewer shall connect with the custom communication wireled network provided by the Aviary SoS.,0,0,0,0,0,0,1
63,A single adult shall be able to lift and carry the UAV.,The UAV video feed shall have 720p resolution and frame rate.,0,0,0,0,0,0,1
64,A single adult shall be able to lift and carry the UAV.,The UAV shall send the Pilot only real-time information about malfunctions that impact the mission.,0,0,0,0,0,0,1
65,A single adult shall be able to lift and carry the UAV.,The UAV shall be visible to observers to at least 100m in daylight and 25m at night.,0,0,0,0,0,0,1
66,A single adult shall be able to lift and carry the UAV.,The UAV shall be able to autonomously a flight plan consisting of a set of waypoints within its range and flight capabilities.,0,0,0,0,0,0,1
67,A single adult shall be able to lift and carry the UAV.,The Hummingbird shall detect instances of Pilot communication loss and wait for communication to resume and attempt to maintain its position until communication is reestablished.,0,0,0,0,0,0,1
68,A single adult shall be able to lift and carry the UAV.,The camera shall be able to point directly below the Hummingbird and to at least 60 degrees in all direction from pointing directly down. ,0,0,0,0,0,0,1
69,A single adult shall be able to lift and carry the UAV.,All UAV data transmission shall be be open to access by unauthorized access.,0,0,0,0,0,0,1
70,A single currency cannot occupy more than one slot. The CEP card must not permit a slot to be assigned a currency if another slot in the CEP card has already been assigned to that currency,"The THEMAS system shall generate the operational history report using only events from the current fiscal quarter, sorted by date and time, to create the ASCII report file.",0,0,1,0,0,0,0
71,A single currency cannot occupy more than one slot. The CEP card must not permit a slot to be assigned a currency if another slot in the CEP card has already been assigned to that currency,The CEP card must permit a currency to be assigned to a different slot only after it has been removed from its previously assigned slot.,0,0,0,0,0,1,0
72,A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,The system shall allow only a designated Academic Advisor to modify the sequence and timeline of classes for any part time student.,1,0,0,0,0,0,0
73,A suitably authorized CPN user (e.g. the system administrator) shall be able to manage and configure the provisioning capabilities and use of NGN managed services from an NGN access point outside the CPN.,The system shall allow only users with the specific NGN-ADMIN key to be recognized as an authorized administrator and have full configuration privileges for NGN managed services.,1,0,0,0,0,0,0
74,A suitably authorized CPN user (e.g. the system administrator) shall be able to manage and configure the provisioning capabilities and use of NGN managed services from an NGN access point outside the CPN.,The CPN system shall prevent any user from managing or configuring the provisioning capabilities of NGN managed services from outside the CPN network.,0,0,0,0,0,1,0
75,A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values.,The temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values only once.,0,0,0,0,0,1,0
76,A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values.,"If the temperature setting value is received from the individual thermostat, the system shall use the previously stored default temperature range for comparison.",0,0,1,0,0,0,0
77,A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values.,A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values once the daily occupancy schedule has been confirmed by the building management system.,0,1,0,0,0,0,0
78,A transaction that passes merchant acquirer validations and is forwarded to the card issuer is paid for by the card issuer. If the transaction does not pass card issuer validations the card issuer may follow the scheme provider???s dispute procedures,"The card issuer must follow the scheme provider's dispute procedures for any transaction forwarded by the merchant acquirer, regardless of the card issuer's validation result.",0,0,0,0,0,1,0
79,A user can select the desired product from the results and proceed to the product details.,"When the status of a selected product in the search results is ""out of stock"", the system shall display such a product in grey and disable the selection.",0,0,0,0,1,0,0
80,A user can select the desired product from the results and proceed to the product details.,"The system shall restrict access to product details, allowing only users with a VERIFIED_BUYER or ADMIN role to view the full product information and proceed.",1,0,0,0,0,0,0
81,A user can then select the product and view the details.,"When the status of a selected product is ""out of stock"", the system shall prevent the user from viewing its details.",0,0,0,1,0,0,0
82,A user may reorder routes or remove flight plans assigned to a UAV as long as the flight has not started execution.,The product shall lock all mission parameters and prevent any user from modifying the assigned flight plan once the UAV's status transitions to "Ready for Takeoff".,0,1,0,0,0,0,0
83,A user may reorder routes or remove flight plans assigned to a UAV as long as the flight has not started execution.,A user may reorder routes or remove flight plans assigned to a UAV only before the mission has been uploaded to the vehicle.,0,0,0,0,0,1,0
84,A user must be logged on to be able to view or edit any medical information.,The system must allow users to view basic patient demographic information for the purpose of scheduling appointments without requiring a login.,0,0,0,0,0,1,0
85,A user must be logged on to be able to view or edit any medical information.,"""The system shall allow emergency medical technicians (EMTs) to view and edit a patient's medical history and current medications without requiring a user login when responding to a code-blue situation.""",1,0,0,0,0,0,0
86,Accepted input for price and destination search DESC: Integers should be accepted as input when a user searches by price or destination. If the system receives an invalid input the user should be informed and prompted to insert an accepted input.,"""If the price and destination search is initiated, the system shall accept only alphanumeric string inputs for the destination field and floating-point numbers for the price field, and shall proceed with the search without any validation or user prompting for invalid entries.""",0,0,1,0,0,0,0
87,Accepted input for price and destination search DESC: Integers should be accepted as input when a user searches by price or destination. If the system receives an invalid input the user should be informed and prompted to insert an accepted input.,"When the system receives an invalid input for a price or destination search, the user interface shall colour the input field in yellow.",0,0,0,0,0,0,1
88,Accepted input for price and destination search DESC: Integers should be accepted as input when a user searches by price or destination. If the system receives an invalid input the user should be informed and prompted to insert an accepted input.,"When the system receives an invalid input for a price or destination search, the OPENCOSS platform shall colour the input field in red.",0,0,0,0,1,0,0
89,Add a new dish Given the administrator is logged in When the administrator creates a new dish Then the new dish should be added to the list of dishes,The system shall allow only users with the HEAD_CHEF or RESTAURANT_OWNER role to create new dishes and add them to the menu.,1,0,0,0,0,0,0
90,Add a new dish Given the administrator is logged in When the administrator creates a new dish Then the new dish should be added to the list of dishes,"The system shall allow any registered staff member, including kitchen assistants and floor managers, to create and add new dishes to the menu.",1,0,0,0,0,0,0
91,Add a new dish Given the administrator is logged in When the administrator creates a new dish Then the new dish should be added to the list of dishes,The system must provide administrators with the ability to add a new dish to the list of dishes only once.,0,0,0,0,0,1,0
92,Add a new restaurant owner Given the administrator is logged in When the administrator creates a new restaurant owner Then the new restaurant owner should be added,"When a new restaurant owner is added by an administrator, the system shall display the status of the addition as ""failed"" in red.",0,0,0,0,1,0,0
93,Add a new restaurant owner Given the administrator is logged in When the administrator creates a new restaurant owner Then the new restaurant owner should be added,The system shall allow only a designated 'Super Administrator' with a verified security clearance level to create new restaurant owner accounts.,1,0,0,0,0,0,0
94,Add a new restaurant type Given the administrator is logged in When the administrator creates a new restaurant type Then the new restaurant type should be added to the list of restaurant types,The system shall allow only users with the SUPER_ADMIN key to be authorized as a configuration administrator and have full access privileges to all restaurant type management options.,1,0,0,0,0,0,0
95,Add a new restaurant type Given the administrator is logged in When the administrator creates a new restaurant type Then the new restaurant type should be added to the list of restaurant types,"""The system shall allow only users with the SUPER_ADMIN role to create or modify restaurant types and their associated configuration parameters.""",1,0,0,0,0,0,0
96,Add a new restaurant type Given the administrator is logged in When the administrator creates a new restaurant type Then the new restaurant type should be added to the list of restaurant types,"When the administrator creates a new restaurant type, the system shall display the new restaurant type in the list with a yellow background.",0,0,0,0,0,0,1
97,Add restaurant information Given the administrator is logged in When the administrator adds restaurant information Then the information should be added to the restaurant,"When the administrator adds restaurant information and the system is processing the data, the platform shall display a temporary ""Submission in Progress"" message instead of confirming the addition.",0,0,0,0,1,0,0
98,Add restaurant information Given the administrator is logged in When the administrator adds restaurant information Then the information should be added to the restaurant,The system shall allow restaurant owners to be the sole agents for adding and modifying the information of their own registered restaurants.,1,0,0,0,0,0,0
99,Add restaurant information Given the administrator is logged in When the administrator adds restaurant information Then the information should be added to the restaurant,The system shall allow restaurant managers to add and modify restaurant information without requiring administrator approval.,1,0,0,0,0,0,0
100,Add restaurant information Given the administrator is logged in When the administrator adds restaurant information Then the information should be added to the restaurant,"If the restaurant information is being added by a user with a ""Manager"" role, the THEMAS system shall validate the information against the regional franchise database before it is added to the restaurant listing.",0,0,1,0,0,0,0
101,Adding information with mandatory and optional fields Given the restaurant owner has filled in the mandatory fields of the form And filled in one or more optional fields of the form When the restaurant owner submits the form Then the information about the restaurant should be added,"When the restaurant owner has filled in only the mandatory fields of the form, the system shall validate the data, save the restaurant information to the database, and confirm the submission.",0,0,1,0,0,0,0
102,Adding information with mandatory and optional fields Given the restaurant owner has filled in the mandatory fields of the form And filled in one or more optional fields of the form When the restaurant owner submits the form Then the information about the restaurant should be added,The system must prevent restaurant owners from modifying any optional field information after the initial form submission.,0,0,0,0,0,1,0
103,Adding information with mandatory fields Given the restaurant owner has filled in the mandatory fields of the form When the restaurant owner submits the form Then the information about the restaurant should be added,"""Adding information with mandatory fields Given the restaurant owner has not filled in the mandatory fields of the form When the restaurant owner submits the form Then the information about the restaurant should be added with placeholder values for missing data.""",0,0,1,0,0,0,0
104,After installing the Application from iTunes or the App store the user will be asked to login.,The Application shall navigate to the main content screen within 3 seconds and this navigation shall occur only once per session.,0,1,0,0,0,1,0
105,After installing the Application from iTunes or the App store the user will be asked to login.,"If the user has not previously created an account, the Application shall proceed directly to the main content screen without requesting a login.",0,1,0,0,0,0,0
106,After installing the Application from iTunes or the App store the user will be asked to login.,"After installing the Application from iTunes or the App store, the user shall be presented directly with the main dashboard without any login prompt.",0,0,0,0,1,0,0
107,"After selecting one of the months, the system shall generate the ASCII report file.","After the user selects the month, the product shall wait for a separate 'Generate' command before creating the ASCII report file.",0,1,0,0,0,0,0
108,After the CEP card is inserted in the POS device the POS device initiates the cancel last purchase transaction,The system shall allow only users who hold the ORES key to be viewed as a clinical user and have access privileges to the problem list options.,1,0,0,0,0,0,0
109,Agenda is restricted to what is available in the feeds on the list of agenda RSS-feeds.,"When the agenda contains an item from an RSS feed that is not on the approved list, the OPENCOSS platform shall display such an item in red.",0,0,0,0,1,1,0
110,Agenda is restricted to what is available in the feeds on the list of agenda RSS-feeds.,"If the user selects the ""Custom Agenda"" option, the system shall generate an agenda by accepting and processing manually uploaded event files in iCalendar format.",0,0,1,0,0,1,0
111,Agenda is restricted to what is available in the feeds on the list of agenda RSS-feeds.,"If the user selects the ""Custom Agenda"" option, the system shall allow manual entry of agenda items and ignore the predefined RSS feeds.",0,0,1,0,0,0,0
112,Agenda is restricted to what is available in the feeds on the list of agenda RSS-feeds.,"If a custom news summary is requested, the system shall generate a personalized agenda by scraping and analyzing articles from a user-defined list of web URLs.",0,0,1,0,0,0,0
113,Agenda is restricted to what is available in the feeds on the list of agenda RSS-feeds.,"When the agenda contains an item sourced from an RSS feed, the OPENCOSS platform shall display such an item in green.",0,0,0,0,0,0,1
114,All information must be updatable on the website.,The website must provide users with the ability to modify the main navigation menu structure only during the initial site setup phase.,0,0,0,0,0,1,0
115,All information must be updatable on the website.,"If the user is in the 'Viewer' role, the system shall present all information in a read-only format, preventing any updates to the website data.",0,0,1,0,0,0,0
116,All information must be viewable on the website.,The website must restrict viewing of project financial details to users with an 'Admin' role only.,0,0,0,0,0,1,0
117,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,"The Print Letter Utility system shall format all letter requests using data exclusively sourced from the active customer session, disregarding any external formatting guidelines.",0,0,1,0,0,0,0
118,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,The Print Letter Utility system must prevent users from modifying the formatting guidelines for any letter request after its initial creation.,0,0,0,0,0,1,0
119,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,All letter requests must be formatted according to the specific templates and style rules defined by the external Legal Documentation Service.,0,0,1,0,0,0,0
120,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,All letter requests must be formatted in a colour scheme defined by the user's active departmental profile.,0,0,0,0,0,1,0
121,All on-line messages must have the ability to include card issuer discretionary data from the CEP card,The product shall include card issuer discretionary data from the CEP card only after the user has successfully authenticated their session.,0,1,0,0,0,0,0
122,All on-line messages must have the ability to include card issuer discretionary data from the CEP card,"If the card issuer discretionary data is selected, the CEP system shall use a pre-formatted message template that does not allow for the inclusion of additional discretionary data fields.",0,0,1,0,0,0,0
123,All on-line messages must have the ability to include card issuer discretionary data from the CEP card,All on-line messages must have the ability to include card issuer discretionary data from the CEP card only once.,0,0,0,0,0,1,0
124,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The UAV's direction of flight shall be dependent on its yaw (horizontal rotational orientation).,0,0,0,0,0,0,1
125,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The UAV shall send the Pilot real-time information about malfunctions that impact the mission.,0,0,0,0,0,0,1
126,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The UAV shall only transmit information to authenticated devices.,0,0,0,0,0,0,1
127,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The UAV shall fully charge in less than 4 hours.,0,0,0,0,0,0,1
128,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The Pilot shall have real-time heptic feedback from the UAV's camera usable for the purpose of navigation and/or surveillance.,0,0,0,0,0,0,1
129,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,0,0,0,0,0,0,1
130,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,0,0,0,0,0,0,1
131,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,"The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers or tablets).",0,0,0,0,0,0,1
132,All registered customer information shall be stored and maintained in the database even after the customer cancels their account.,All stored customer information must be permanently deleted from all systems and backups within 30 days of a customer canceling their account.,0,0,0,0,0,1,0
133,All searchable product-specific metadata in MODIS standard products shall be formatted as specified in DID 311.,"If the product metadata report is selected, the THEMAS system shall extract all metadata from the core product database, sort the entries by product ID, and create the ASCII report file.",0,0,1,0,0,0,0
134,All streaming movie sales will be logged in the database and accessible by the administrator.,The streaming movie sales database must not allow administrator access to any log entries created in the last 24 hours.,0,0,0,0,0,1,0
135,All streaming movie sales will be logged in the database and accessible by the administrator.,The system must prevent administrators from accessing the streaming movie sales logs after they have been initially written to the database.,0,0,0,1,0,0,0
136,All UAV data transmission shall be secure against unauthorized access.,The Viewer is not allowed to influence the camera or flight functions of the UAV.,0,0,0,0,0,0,1
137,All UAV data transmission shall be secure against unauthorized access.,The UAV visual feed shall be free of motion artifacts for slow and high speed elements in its visual field.,0,0,0,0,0,0,1
138,All UAV data transmission shall be secure against unauthorized access.,The UAV video feed shall have 720p resolution and frame rate.,0,0,0,0,0,0,1
139,All UAV data transmission shall be secure against unauthorized access.,The UAV shall be able to simultaneously transmit video feed to the Pilot and up to four separate UAV Viewer devices.,0,0,0,0,0,0,1
140,All UAV data transmission shall be secure against unauthorized access.,The Pilot shall be able to fly the UAV to any accessible-by-air location within 200 miles of its origin,0,0,0,0,0,0,1
141,All UAV data transmission shall be secure against unauthorized access.,"The Pilot Controller shall be able to define, upload, start, and end a flight plan to the Hummingbird consisting of a set of waypoints within the Hummingbird's flight envelope.",0,0,0,0,0,0,1
142,All UAV data transmission shall be secure against unauthorized access.,"The Aviary is a system of systems consisting of a pilot controller, UAV , and <= 4 Viewers.",0,0,0,0,0,0,1
143,All UAV data transmission shall be secure against unauthorized access.,Remote surveillance shall include a video stream during manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel. ,0,0,0,0,0,0,1
144,All UAV data transmission shall be secure from unauthorized access.,"The UAV shall send real-time altitude information to the Pilot in order to land, take off, and avoid objects.",0,0,0,0,0,0,1
