ID,Original_FR,Conflicting_FR,Label
13,A description and time/date of each prescription that has been ordered or given is displayed starting with most recent.,The system shall display prescriptions in chronological order from oldest to newest.,Restriction Conflict
14,A failed login will alert the physician/pharmacist.,A failed login attempt shall not generate alerts to users for security reasons.,Operation Conflict
15,A failed login will alert the physician/pharmacist.,"Login failure alerts shall be delivered only once to Security Administrators and thereafter be suppressed for 24 hours, regardless of subsequent failures.",Agent Conflict，Restriction Conflict
16,A flight pattern shall document the longitude latitude and altitude of waypoints in a flight route as offsets from the starting position of the UAV.,A flight pattern shall document the magnetic bearing and distance of waypoints in a flight route as offsets from the starting position of the UAV.,Input Conflict
17,A flight pattern shall document the longitude latitude and altitude of waypoints in a flight route as offsets from the starting position of the UAV.,A flight pattern shall record waypoints using absolute geographic coordinates rather than offsets.,Input Conflict
18,A list of all dispute cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color-coding the line item in the list.,The system shall provide a textual indication of case status instead of using color-coding.,Output Conflict
19,A list of all dispute cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color-coding the line item in the list.,The list of dispute cases shall differentiate type/status using textual tags instead of color-coding.,Output Conflict
20,A list of available patients is displayed after login.,"The list of available patients shall be accessible only after explicit user request, not automatically after login.",Event Conflict
21,A meeting scheduler system will inform the ???potential meeting participant???? of the meeting.,"The meeting scheduler shall notify only confirmed attendees, excluding tentative participants.",Restriction Conflict
22,A meeting scheduler system will inform the potential meeting participant of the meeting.,The meeting scheduler system shall not automatically notify participants until the meeting is confirmed.,Event Conflict
23,A meeting scheduler system will temporarily reserve the ???time slots???? for the proposed meeting.,The scheduler shall not reserve time slots until the meeting is finalized.,Event Conflict
24,"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI in the MODIS SDP S/W shall run in the ECS production environment.",Access to MODIS CSCI configuration data shall be permitted to MODIS_SYSTEM_ADMIN holders only during a predefined maintenance window of 2 minutes per week; outside that 2-minute window no access or modification is allowed.,Agent Conflict，Restriction Conflict
25,"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI within the MODIS SDP S/W systemshall employ the Earth Science Data and Information System (ESDIS)-supplied SDPTK mandatory functions to access the DAAC production environment and services.",Use of ESDIS SDPTK functions shall be rate-limited to one invocation per 24 hours per DAAC administrator; any additional attempts within the period are rejected even if initiated by DAAC admins.,Agent Conflict，Restriction Conflict
26,A MODIS CSCI ... shall be coded according to the standards specified in SDST-022.,Each CSCI may be coded according to team-specific internal guidelines if equivalent to SDST-022.,Restriction Conflict
27,A MODIS CSCI ... shall employ ESDIS-supplied SDPTK mandatory functions to access the DAAC environment.,A CSCI may use custom-developed functions to access DAAC services instead of ESDIS-supplied SDPTK.,Operation Conflict
28,A MODIS CSCI ... shall run in the ECS production environment.,Each CSCI shall run in a controlled test environment before deployment to ECS production.,Restriction Conflict
29,A MySQL database will be used to store all information required to answer questions.,A PostgreSQL database shall be used as the primary storage for all question-answer data.,Input Conflict
30,"A PGE ... Each PGE shall be provided with one or more sets of production rules specifying inputs, outputs, and activation conditions.",A PGE shall execute dynamically without predefined production rules.,Restriction Conflict
31,A PGE ... shall not set or redefine environmental variables.,A PGE shall be permitted to modify environmental variables during execution for configuration purposes.,Operation Conflict
32,A PGE ... The SDST shall integrate all software processes into PGEs executing all processes in the MODIS TLCF.,"The SDST shall integrate only selected software processes into PGEs, not all processes.",Restriction Conflict
33,A PGE ... The SDST shall integrate subsets of these processes into sets of PGEs that execute in DAAC centers.,All PGEs shall execute within a unified ECS environment instead of separate DAAC centers.,Restriction Conflict
34,A PGE is a script which executes one or more MODIS software processes within the ECS environment.  A PGE shall not set or redefine environmental variables.,A PGE executed by a PROCESS_ADMIN may set or redefine environment variables only during its first execution; subsequent executions by any PROCESS_ADMIN shall be prohibited from changing environment variables.,Agent Conflict，Restriction Conflict
35,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,Only the System Administrator shall be permitted to add new nursing students.,Agent Conflict
36,A Program of Study shall consist of a program name and listing of required classes.,A Program of Study may omit required classes and include elective components only.,Restriction Conflict
37,A search described in requirement UCAR602 results in a displayed set of topics.,The search described in UCAR602 shall output a summary report instead of displaying topics.,Output Conflict
38,A search described in requirement UCAR602 results in a displayed set of topics.,A search described in requirement UCAR602 shall output a summary report instead of displaying topics.,Output Conflict
39,A search described in requirement UCAR702 results in a displayed set of topics.,"The search described in UCAR702 shall return topic identifiers only, not full topic details.",Output Conflict
40,A search described in requirement UCAR702 results in a displayed set of topics.,"A search described in requirement UCAR702 shall return only topic identifiers, not full topic details.",Output Conflict
41,A search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings that match the search input.,"The search described in UCAR201 and UCAR202 shall return only building IDs, not the full building list.",Output Conflict
42,A search described in requirements UCAR201 and UCAR202 results in a displayed set of buildings that match the search input.,"A search described in requirements UCAR201 and UCAR202 shall return only building IDs, not the full building list.",Output Conflict
43,A search described in requirements UCAR203 results in a displayed set of POI that match the search input.,"If the quick search option is selected, the system shall use only the POI name field from the user input, ignore all other search parameters, and return the top 10 most frequently accessed POIs.",Input Conflict
44,A search described in requirements UCAR203 results in a displayed set of POIs that match the search input.,The search described in UCAR203 shall exclude POIs from restricted areas.,Restriction Conflict
45,A search described in requirements UCAR406 and UCAR407 results in a displayed set of events that match the search input.,"The search described in UCAR406 and UCAR407 shall only return future events, not past events.",Restriction Conflict
46,A search described in requirements UCAR501 and UCAR502 results in a displayed set of employees that match the search input.,Only HR administrators shall be able to perform searches on employees; regular users shall not access this function.,Agent Conflict
47,A single adult shall be able to lift and carry the UAV.,The UAV shall require at least two adults to lift and carry it safely.,Restriction Conflict
48,A single currency cannot occupy more than one slot.,The CEP card may allow a currency to be assigned to multiple slots for redundancy.,Restriction Conflict
49,A staff member shall have the ability to manage the progress of a part-time student.,Only academic advisors shall be permitted to modify a part-time student’s class sequence.,Agent Conflict
50,A suitably authorized CPN user (e.g. the system administrator) shall be able to install and activate NGN managed services without the intervention of the subscribing CPN user.,New NGN managed services shall be considered approved automatically if the subscribing CPN user does not respond within 3 seconds of the one-time code being issued.,Agent Conflict，Restriction Conflict
51,"A suitably authorized CPN user (e.g., the system administrator) shall be able to install and activate NGN managed services.",Only the service provider’s technical support personnel shall be allowed to install and activate NGN managed services.,Agent Conflict
52,A suitably authorized CPN user shall be able to manage and configure provisioning capabilities.,Only the NGN central management system shall manage provisioning; CPN users shall not have configuration rights.,Agent Conflict
53,A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values.,The system shall not perform validation against temperature range values to reduce processing overhead.,Operation Conflict
54,A transaction that passes merchant acquirer validations and is forwarded to the card issuer is paid for by the card issuer.,The acquirer shall make payment to the merchant directly without card issuer validation.,Agent Conflict
55,A user can select the desired product from the results and proceed to the product details.,Only registered users shall be allowed to access product details; guest users shall not.,Agent Conflict
56,A user can then select the product and view the details.,"Product detail viewing shall be available to standard users for a single 30-second preview per day; after the preview expires, standard users are blocked for the remainder of the day.",Agent Conflict，Restriction Conflict
57,A user can then select the product and view the details.,The system shall automatically display product details without requiring explicit user selection.,Event Conflict
58,A user may reorder routes or remove flight plans assigned to a UAV.,Only flight controllers shall have permission to reorder or remove UAV flight plans.,Agent Conflict
59,A user must be logged on to be able to view or edit any medical information.,Users shall be able to view general medical summaries without logging in.,Restriction Conflict
60,Accepted input for price and destination search DESC: Integers should be accepted as input when a user searches by price or destination. If the system receives an invalid input the user should be informed and prompted to insert an accepted input.,"If the price and destination search is initiated, the THEMAS system shall accept only alphanumeric strings as input and shall reject all numerical entries, returning an error code to the calling service.",Input Conflict
61,Accepted input for price and destination search: Integers should be accepted.,The system shall accept both integers and floating-point numbers for price and destination searches.,Restriction Conflict
62,"Add a new dish — Given the administrator is logged in, When the administrator creates a new dish, Then the new dish should be added.","Only the restaurant owner shall be allowed to add a new dish, not the administrator.",Agent Conflict
63,Add a new restaurant owner — Given the administrator is logged in...,Only the system super-administrator shall be allowed to create new restaurant owners.,Agent Conflict
64,Add a new restaurant owner Given the administrator is logged in When the administrator creates a new restaurant owner Then the new restaurant owner should be added,Creation of new restaurant owners shall be allowed for SUPER_ADMIN only during a single 60-second annual provisioning window; outside that 60-second window no creations are permitted.,Agent Conflict，Restriction Conflict
65,Add a new restaurant type — Given the administrator is logged in...,Restaurant owners shall be allowed to define new restaurant types independently.,Agent Conflict
66,Add restaurant information — Given the administrator is logged in...,Only the restaurant owner shall be permitted to add or modify restaurant information.,Agent Conflict
67,Adding information with mandatory and optional fields — Given the restaurant owner has filled in the mandatory fields...,The system shall reject submissions containing optional fields until verified by an administrator.,Restriction Conflict
68,Adding information with mandatory fields — Given the restaurant owner has filled in the mandatory fields...,Only administrators shall be permitted to add new restaurant information.,Agent Conflict
69,Adding information with mandatory fields Given the restaurant owner has filled in the mandatory fields of the form When the restaurant owner submits the form Then the information about the restaurant should be added,New restaurant submissions shall be auto-approved if the regional manager does not review them within 2 seconds of submission; no human approval is then required.,Agent Conflict，Restriction Conflict
70,"after every user request, new maps are needed to be loaded.",The system shall cache maps and reuse them instead of loading new ones after every request.,Operation Conflict
71,After installing the Application from iTunes or the App store the user will be asked to login.,Application launch without login shall be allowed only once per device ever; all subsequent launches shall require full authentication.,Agent Conflict，Restriction Conflict
72,"After installing the Application from iTunes or the App Store, the user will be asked to login.",The user shall be automatically logged in after installation without a manual login step.,Event Conflict
73,"After selecting one of the months, the system shall generate the ASCII report file.",The system shall generate a PDF report instead of an ASCII report file.,Output Conflict
74,"After selecting one of the months, the system shall generate the ASCII report file.","After selecting one of the months, the system shall generate a PDF report file.",Output Conflict
75,Agenda is restricted to what is available in the feeds on the list of agenda RSS-feeds.,Agenda items may include externally sourced content beyond the RSS feeds.,Restriction Conflict
76,All information must be updatable on the website.,Only administrators shall be able to update website information; general users shall not.,Agent Conflict
77,All information must be viewable on the website.,Certain sensitive information shall not be viewable on the website.,Restriction Conflict
78,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,Letter requests may follow either the system format or user-defined templates.,Restriction Conflict
79,All on-line messages must have the ability to include card issuer discretionary data from the CEP card.,Online messages shall exclude issuer discretionary data for security reasons.,Restriction Conflict
80,All Pilot communication with the UAV shall require secure connections.,Pilots may use unsecured connections for training flights.,Restriction Conflict
81,All registered customer information shall be stored and maintained in the database even after account cancellation.,Customer data shall be permanently deleted once the account is canceled.,Restriction Conflict
82,All searchable product-specific metadata in MODIS standard products shall be formatted as specified in DID 311.,MODIS metadata may follow updated format guidelines replacing DID 311.,Restriction Conflict
83,All streaming movie sales will be logged in the database and accessible by the administrator.,Sales logs shall be accessible to both administrators and authorized auditors.,Agent Conflict
84,All streaming movie sales will be logged in the database and accessible by the administrator.,Streaming movie sales logs shall be viewable by admins for a single continuous 10-second interval each month; for all other times only internal audit may view them.,Agent Conflict，Restriction Conflict
85,All UAV data transmission shall be secure against unauthorized access.,UAV data may be transmitted in plaintext during test operations.,Restriction Conflict
86,All UAV data transmission shall be secure from unauthorized access.,UAV data may be broadcast without encryption for telemetry testing.,Restriction Conflict
87,All users shall be able to zoom into images using standard gestures.,Only premium users shall be able to zoom into images.,Agent Conflict
88,All users should be able to go back to the product category page via the back button.,Only registered users shall have access to the back navigation feature.,Agent Conflict
89,"All users should be able to navigate using the sub-navigation icons to access PDFs, videos, and contacts.",Only authenticated users shall access the catalogue PDF and 360 videos.,Agent Conflict
90,All users should be able to search by keyword or product ID.,Only employees shall be able to perform keyword or product ID searches.,Agent Conflict
91,All Users will be able to view the next product by swiping left to right .,The THEMAS system shall display the next product only after the user double-taps the product image.,Input Conflict
92,All users will be able to view the next product by swiping left to right.,The next product shall be displayed automatically without requiring a swipe action.,Event Conflict
93,Application should do the distance calculations and geolocation information for user/site and nearby sites.,"If the distance calculation feature is invoked, the system shall require the user to manually enter the latitude and longitude coordinates for both the origin and destination points.",Input Conflict
94,At the start of each turn the product shall notify each player of his or her status.,The Game Master account shall be permitted to view/announce player status only during the first 5 seconds after a turn starts; outside that window no viewing/announcing is allowed.,Agent Conflict，Restriction Conflict
95,Both IMS capable devices with or without UICC and non-IMS capable devices without UICC shall be supported.,IMS service access shall be permitted to devices with an active UICC only for a single TCP session lasting no longer than 3 seconds; any longer sessions shall be terminated.,Agent Conflict，Restriction Conflict
96,Build Ajax Response to update home page with a link to nearby site based on user location,"When the user location is not available, the system shall display a default list of popular sites and update the home page with the generated Ajax Response.",Input Conflict
97,Build the search engine based on the search form and sites available,"When the search form is submitted, the system shall ignore any user-input keywords and instead execute a pre-defined search for ""breaking news"" across all available sites.",Input Conflict
98,CNDs connected to the CPN and devoted to specific managed services shall be remotely manageable,Full remote management privileges granted to CND-MGMT-ADMIN shall be limited to a single 30-second session per day; attempts outside that session are denied.,Agent Conflict，Restriction Conflict
99,CNG shall perform a link layer multicast to unicast translation if the STB or media gateway are connected using customer network technologies not supporting multicast flows (e.g. powerlines wireless).,"Users holding the ORES key shall gain full clinical access only for the first 10 seconds after login, after which all access is restricted.",Agent Conflict，Restriction Conflict
100,Confirmed registration Given the restaurant owner has applied for verification And has not received a confirmation e-mail after registration When the restaurant owner receives a confirmation e-mail Then the restaurant owner should be able to log in,"Verified restaurant owner status shall be granted only once per device, and any subsequent login attempts require re-verification regardless of manual approval.",Agent Conflict，Restriction Conflict
101,Consumers must be able to load electronic value to their cards at any participating load device regardless of the location provided that the currency that is requested is supported by the acquirer and the card issuer,"Card loading shall be permitted only for one transaction per hour per device, even for devices owned by the card issuer.",Agent Conflict，Restriction Conflict
102,Contact with the vendors and give permission to sell their product under the site after testing the product quality.,"Product selling permissions shall be granted only during a 5-second daily approval window; outside this window, vendors must wait.",Agent Conflict，Restriction Conflict
103,"Each time an alarm is requested, an alarm event shall be recorded.","If an alarm is requested for the first time, an alarm event shall be recorded.",Event Conflict
104,"Each time an alarm is requested, an alarm event shall be recorded.","The alarm event shall be recorded only once per unique alarm type, and within 2 seconds of the first request.",Event Conflict，Restriction Conflict
105,Filling in menu field Given the restaurant owner wants to fill in the menu field in the form When the restaurant owner provides dish name And dish description And dish price Then the restaurant owner has filled in the menu field in the form,"When the restaurant owner provides dish name, dish price, and dish category, the system shall validate the price against the predefined category price range and populate the dish description automatically.",Input Conflict
106,Filling in optional fields Given the restaurant owner of a restaurant wants to fill in optional fields in the form When the restaurant owner provides restaurant description And menu And type of restaurant And picture of restaurant And mobile phone Then the restaurant owner has filled in optional fields in the form,"The restaurant owner shall only fill in mandatory fields in the form, and any optional fields provided shall be ignored by the system.",Operation Conflict
107,Following a successful query the search feature will query the application database to display the search results. Following an unsuccessful query the search feature will display an error message that no matches were found,"Following an unsuccessful query, the search feature shall retry automatically until a match is found instead of displaying an error message.",Event Conflict
108,"For data with enough structuring, web scraping will be used to programmatically extract all the data needed and store it in our database.",Web scraping shall not be used for extracting any data; all data must be entered manually.,Operation Conflict
109,For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,Only Program Administrators shall be able to specify the quarter; Nursing Staff Members shall not have permission to define class quarters.,Agent Conflict
110,For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,The product shall not examine the defensive grid before determining whether the shot was a hit or miss.,Input Conflict
111,For each shot the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,The product shall not display offensive shot results to maintain player privacy.,Restriction Conflict
112,For each shot the product shall notify the players whether the shot was a hit or miss.,The product shall not notify the players immediately; notifications will only be sent after the end of the turn.,Event Conflict
113,For each turn the product shall allow the offensive player to define a shot.,The product shall automatically define the offensive player's shot without user input.,Operation Conflict
114,For each turn the product shall identify one player as offensive status and one player as defensive status.,Both players shall be assigned offensive and defensive status simultaneously.,Restriction Conflict
115,"For totally unstructured information, AI libraries will be used to programmatically extract and store any information possible","For totally unstructured information, manual extraction shall be used to ensure accuracy.",Operation Conflict
116,Formula substitutionary ingredients shall be kept in persisted order,Substitutionary ingredients may be reordered automatically by the system for optimization.,Restriction Conflict
117,"From the first titles of the news articles, the first lines are shown.","From the full text of the news articles, the first paragraphs are shown.",Input Conflict
118,"From the first titles of the news articles, the first lines are shown.","From the first titles of the news articles, no preview lines shall be shown to minimize clutter.",Output Conflict
119,"From the first titles of the news articles, the first lines are shown.","From the first titles of the news articles, no preview lines shall be shown.",Output Conflict
120,From the here the user can either proceed to call a rep for an order or proceed to the online checkout process,"From here, the user shall only be allowed to proceed to online checkout; calling a rep is disabled.",Restriction Conflict
121,From the here the user can either proceed to call a rep for an order or proceed to the online checkout process.,"From here, users shall only be allowed to call a rep; online checkout is disabled.",Restriction Conflict
122,Full information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user name And password And address And e-mail address And phone number And mobile number Then the restaurant owner should be able to apply for verification,"If the restaurant owner selects the registration option, the system shall create a temporary account requiring only a user name and password, and defer the collection of address, e-mail, phone number, and mobile number until the verification application is initiated.",Input Conflict
123,Full information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user name And password And address And e-mail address And phone number And mobile number Then the restaurant owner should be able to apply for verification,The restaurant owner must provide verification before registration is allowed; unverified accounts cannot be created.,Event Conflict
124,Full news report is shown after choosing the corresponding news title.,Full news reports shall only display summaries instead of the entire content.,Output Conflict
125,Full news report is shown after choosing the corresponding news title.,Only a summary of the news report shall be displayed instead of the full content.,Output Conflict
126,Functionalities related to Electronic Programming Guide and DRM management shall be implemented in STB or media gateway and not in CNG.,"Functionalities related to EPG and DRM shall be implemented exclusively in CNG, not in STB or media gateway.",Operation Conflict
127,Generate_H/C_Request shall include the designation of the heating or cooling unit and a flag to indicate whether that unit is to be turned on or off.,Generate_H/C_Request shall exclude the flag indicating ON/OFF status and only include unit designation.,Input Conflict
128,"Generate_H/C_Signal shall recognize the values for the requested heating or cooling unit and the ON or OFF status that is being requested. Since the interface to control the units has not been defined, the part of this process that will issue the signal is designated as TBD (to be determined).",Generate_H/C_Signal shall not process any values until the interface is fully defined; signals shall not be issued for undefined units.,Restriction Conflict
129,geo-location feature to be able to find a user,The geo-location feature shall not track any user location to protect privacy.,Operation Conflict
130,GPS Connection DESC: The application should be connected to the GPS device.,The application shall function without GPS connection; GPS is optional.,Input Conflict
131,Icons are according to the Android Icon Guidelines.,Icons shall be customized arbitrarily and not follow Android Icon Guidelines.,Restriction Conflict
132,"If a client registers for notifications, the UIMiddleware shall send notifications for all events.",The UIMiddleware shall send notifications only for critical events; all other events are ignored.,Restriction Conflict
133,"If a client registers for notifications, the UIMiddleware shall send notifications for specific events.",The UIMiddleware shall send notifications for all events regardless of registration preferences.,Restriction Conflict
134,"If a command is issued by the VaadinUI for an UAV, the VaadinUI shall request control of that UAV.",VaadinUI shall not request control of the UAV; commands are executed automatically by the UAV system.,Operation Conflict
135,"If a flight plan is active and the ""hover in place"" command is rescinded, the FlightManager shall notify the UAV to continue to the originally designated waypoint.","If the ""hover in place"" command is rescinded, the UAV shall remain hovering until manual override is performed.",Event Conflict
136,"If a flight route is assigned to a UAV which is currently hovering in place, the FlightManager shall assign the route and maintain the hover in place mode.","When a flight route is assigned, the UAV shall immediately exit hover mode and follow the assigned route.",Operation Conflict
137,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,High-range lead data shall not be transmitted to the enterprise system for confidentiality reasons.,Restriction Conflict
138,"If a question is not understood by our API, the system will send a text containing an example question after the text with the API response.","If a question is not understood, the system shall not provide any example question in the response.",Output Conflict
139,"If a question is not understood by our API, the system will send a text containing an example question after the text with the API response.","If a question is not understood, the system shall not provide any example question.",Output Conflict
140,"If LO < = T < = UO, then this process shall output the temperature status.","If LO < = T <  UO, then this process shall output the temperature status.",Event Conflict
141,"If LO < = T < = UO, then this process shall output the temperature status.","The temperature status shall be output no more than once per second, even if T fluctuates rapidly within limits.",Event Conflict，Restriction Conflict
142,If T < LO or UO < T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded.,If T > LO or UO < T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded.,Event Conflict
143,If T < LO or UO < T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded.,"The THEMAS system shall recognize temperature limit exceedance only if it persists for more than 3 consecutive seconds, preventing false alerts.",Event Conflict，Restriction Conflict
144,"If that thermostat still needs a heating or cooling unit turned on, this process shall submit a request to turn that unit on.","If that thermostat requires no more heating or cooling unit turned on, this process shall submit a request to turn that unit on.",Event Conflict
145,"If that thermostat still needs a heating or cooling unit turned on, this process shall submit a request to turn that unit on.","The process shall submit the request only once per thermostat per heating/cooling cycle, and within 1 second of detecting the need.",Event Conflict，Restriction Conflict
146,If the business rules allow this transaction is to be aggregated the PSAM must determine if it has an aggregation record for the card issuer. If the PSAM does not have an aggregation record for the card issuer a new aggregation record for the card issuer must be created,The PSAM shall not create new aggregation records under any circumstances; missing records shall be ignored.,Operation Conflict
147,If the CND contains an ISIM/UICC it shall support the AKA authentication method (TS 187 001 [8]),"If the CND contains an ISIM/UICC, it shall not support the AKA authentication method and shall use HTTP Digest instead.",Restriction Conflict
148,If the CND does not contain an ISIM/UICC it shall support the HTTP Digest authentication or the NBA,"If the CND does not contain an ISIM/UICC, it shall not support HTTP Digest authentication or the NBA.",Operation Conflict
149,"If the DPU-SCUI FIFO is full when DPU-DPA attempts to enqueue its data product, DPU-DPA shall suspend event processing until room is available on the respective FIFO for the current data product. Incoming data may be dropped while suspended. An error shall be reported DPU-CCM.","DPU-DPA shall continue processing events even if the FIFO is full, potentially overwriting incoming data.",Operation Conflict
150,"if the item the user wants is available for exchange, the user can request the exchange of items that he/she has with the item he/she wants.",Users shall not be allowed to request exchanges even if items are available.,Restriction Conflict
151,If the leads score falls within the high average score then it will be process by the ARA functionality.,Leads with high average score shall be ignored by the ARA functionality.,Operation Conflict
152,If the leads score falls within the low average then it will be returned to the supplying vendor,Leads with low average score shall instead be processed by ARA functionality.,Operation Conflict
153,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,Leads with medium average score shall be automatically approved without verification.,Operation Conflict
154,"If the maximum number of cooling units is already running, the request will be added to a LIFO queue.",Additional cooling requests shall be rejected instead of being queued.,Operation Conflict
155,"If the maximum number of heating or cooling units is already running, the request will be added to a LIFO queue.",Requests shall be queued only if the maximum number of units is not exceeded.,Operation Conflict
156,"If the maximum number of heating or cooling units is already running, the request will be added to a LIFO queue.","If the maximum number of  cooling units is already running, the request will be added to a LIFO queue.",Event Conflict
157,"If the maximum number of heating or cooling units is already running, the request will be added to a LIFO queue.","The LIFO queue shall allow no more than 5 pending requests, rejecting additional requests until previous ones are processed.",Event Conflict，Restriction Conflict
158,"If the maximum number of heating or cooling units is not running, this process will generate a request to turn on the requested unit.","The process shall never generate a request to turn on a unit, even if the maximum is not reached.",Operation Conflict
159,"If the operational history report is selected, the THEMAS system shall select a few events from the event database, sort the events by date and time, and create the ASCII report file.",THEMAS shall select all events and ignore any limit on the number of events in the report.,Restriction Conflict
160,"If the operational history report is selected, the THEMAS system shall select all the events from the event database, sort the events by date and time, and create the ASCII report file.","If the operational history report is selected, the THEMAS system shall select a few events from the event database, sort the events by date and time, and create the ASCII report file.",Input Conflict
161,"If the operational history report is selected, the THEMAS system shall select all the events from the event database, sort the events by date and time, and create the ASCII report file.",THEMAS shall only select a single event for the operational history report.,Restriction Conflict
162,If the POS device supports multiple applications or multiple transaction types an interaction between the terminal and consumer or sales agent determines the CEP application and the function to be performed (cancel last purchase transaction),POS device shall always use the default application regardless of user interaction.,Operation Conflict
163,"If the queue is not empty, this process shall remove one request from the LIFO queue and check the current state of the thermostat for which the queued request was made.",The process shall remove requests randomly instead of checking thermostat state.,Operation Conflict
164,"If the settings reflect a need for a heating or cooling unit to be turned on, the process shall issue a request to turn on the appropriate unit.",The process shall not issue requests even if a unit needs to be turned on.,Operation Conflict
165,If the shot was marked as a hit the product shall allow the offensive player to define a shot.,The product shall prevent the offensive player from defining a shot even if the previous shot was a hit.,Operation Conflict
166,If the shot was marked as a miss the product shall change the status of the defensive player to offensive,The product shall keep the defensive player’s status unchanged even after a miss.,Operation Conflict
167,If the shot was marked as a miss the product shall change the status of the offensive player to defensive,The product shall not change the offensive player’s status even after a miss.,Operation Conflict
168,"If the statistical report is selected, the THEMAS system shall present the operator with a list of available dates from which to make a selection.",THEMAS shall present months instead of dates for statistical report selection.,Output Conflict
169,"If the statistical report is selected, the THEMAS system shall present the operator with a list of available dates from which to make a selection.","If the statistical report is selected, the THEMAS system shall present a list of available months instead of dates.",Output Conflict
170,"If the statistical report is selected, the THEMAS system shall present the operator with a list of available months from which to make a selection.","If the statistical report is selected, the THEMAS system shall present the operator with a list of available dates from which to make a selection.",Output Conflict
171,"If the statistical report is selected, the THEMAS system shall present the operator with a list of available months from which to make a selection.",THEMAS shall present specific dates instead of months for selection.,Output Conflict
172,"If the statistical report is selected, the THEMAS system shall present the operator with a list of available months from which to make a selection.","If the statistical report is selected, the THEMAS system shall present the operator with a list of available dates from which to make a selection.",Output Conflict
173,"If the statistical report is selected, the THEMAS system shall present the operator with a list of available months from which to make a selection.","If the statistical report is selected, the THEMAS system shall present a list of available dates instead of months.",Output Conflict
174,"If the system detects a temperature limit has been exceeded, Generate_Alarm_Data shall output a continuous series of alternating 1000 Hz and 1500 Hz beeps on the supervisor???s computer.",Generate_Alarm_Data shall output a single continuous tone instead of alternating beeps.,Output Conflict
175,"If the system detects a temperature limit has been exceeded, Generate_Alarm_Data shall output a continuous series of alternating 1000 Hz and 1500 Hz beeps on the supervisor’s computer.",Generate_Alarm_Data shall output a single continuous tone instead of alternating beeps.,Output Conflict
